Team Name,Player Name,Total Kills,Head Shots,Deaths,K/D Ratio,Maps Played,Rounds Played,Average KPR,Average APR,Average ADR,Rating
Space Soldiers,Xantares,2335,53.50%,1862,1.25,104,2648,0.88,0.19,0.7,1.25
NiP,Get_Right,17137,49.30%,12748,1.34,843,21123,0.81,0.15,0.6,1.21
HellRaisers,s1mple,7526,39.90%,6288,1.2,341,8940,0.84,0.11,0.7,1.18
Natus Vincere,GuardiaN,13455,30.80%,10540,1.28,647,16996,0.79,0.12,0.62,1.18
EnVyUs,kennyS,14193,30.80%,11068,1.28,683,17748,0.8,0.12,0.62,1.18
NiP,f0rest,16671,50.70%,13121,1.27,826,20680,0.81,0.14,0.63,1.18
mousesports,NiKo,5668,50.30%,4802,1.18,262,6855,0.83,0.15,0.7,1.17
